Time_ms,Delta_Displacement_nm
1091.000,-1265.983
1092.000,-1265.983
1093.000,-1582.478
1094.000,-1582.478
1095.000,-1582.478
1096.000,-1582.478
1097.000,-1582.478
1098.000,-1265.983
1099.000,-1265.983
1100.000,-1265.983
1101.000,-1582.478
1102.000,-1582.478
1103.000,-1265.983
1104.000,-1265.983
1105.000,-1265.983
1106.000,-949.487
1107.000,-949.487
1108.000,-949.487
1109.000,-1265.983
1110.000,-949.487
1111.000,-949.487
1112.000,-949.487
1113.000,-949.487
1114.000,-632.991
1115.000,-632.991
1116.000,-632.991
1117.000,-632.991
1118.000,-632.991
1119.000,-632.991
1120.000,-316.496
1121.000,-316.496
1122.000,-316.496
1123.000,-316.496
1124.000,-316.496
1125.000,-316.496
1126.000,-632.991
1127.000,-632.991
1128.000,-632.991
1129.000,-632.991
1130.000,-632.991
1131.000,-632.991
1132.000,-632.991
1133.000,-632.991
1134.000,-949.487
1135.000,-949.487
1136.000,-949.487
1137.000,-949.487
1138.000,-949.487
1139.000,-949.487
1140.000,-949.487
1141.000,-949.487
1142.000,-949.487
1143.000,-949.487
1144.000,-949.487
1145.000,-949.487
1146.000,-949.487
1147.000,-949.487
1148.000,-949.487
1149.000,-949.487
1150.000,-1265.983
1151.000,-1265.983
1152.000,-1265.983
1153.000,-1265.983
1154.000,-1265.983
1155.000,-1265.983
1156.000,-1265.983
1157.000,-1265.983
1158.000,-1265.983
1159.000,-1582.478
1160.000,-1582.478
1161.000,-1582.478
1162.000,-1582.478
1163.000,-1582.478
1164.000,-1582.478
1165.000,-1582.478
1166.000,-1582.478
1167.000,-1582.478
1168.000,-1582.478
1169.000,-1265.983
1170.000,-1265.983
1171.000,-1265.983
1172.000,-949.487
1173.000,-949.487
1174.000,-949.487
1175.000,-949.487
1176.000,-949.487
1177.000,-949.487
1178.000,-632.991
1179.000,-632.991
1180.000,-632.991
1181.000,-632.991
1182.000,-632.991
1183.000,-632.991
1184.000,-632.991
1185.000,-632.991
1186.000,-632.991
1187.000,-632.991
1188.000,-632.991
1189.000,-632.991
1190.000,-949.487
1191.000,-949.487
1192.000,-949.487
1193.000,-949.487
1194.000,-1265.983
1195.000,-1265.983
1196.000,-1265.983
1197.000,-1265.983
1198.000,-1265.983
1199.000,-1265.983
1200.000,-1265.983
1201.000,-1265.983
1202.000,-1265.983
1203.000,-1265.983
1204.000,-1265.983
1205.000,-1265.983
1206.000,-1265.983
1207.000,-1265.983
1208.000,-1265.983
1209.000,-1265.983
1210.000,-1265.983
1211.000,-1265.983
1212.000,-1265.983
1213.000,-949.487
1214.000,-949.487
1215.000,-949.487
1216.000,-949.487
1217.000,-949.487
1218.000,-949.487
1219.000,-949.487
1220.000,-949.487
1221.000,-632.991
1222.000,-632.991
1223.000,-632.991
1224.000,-632.991
1225.000,-632.991
1226.000,-632.991
1227.000,-632.991
1228.000,-632.991
1229.000,-316.496
1230.000,-316.496
1231.000,-316.496
1232.000,-316.496
1233.000,-316.496
1234.000,-632.991
1235.000,-632.991
1236.000,-632.991
1237.000,-632.991
1238.000,-632.991
1239.000,-632.991
1240.000,-632.991
1241.000,-632.991
1242.000,-949.487
1243.000,-949.487
1244.000,-949.487
1245.000,-1265.983
1246.000,-1265.983
1247.000,-1265.983
1248.000,-1265.983
1249.000,-1265.983
1250.000,-1265.983
1251.000,-1265.983
1252.000,-1582.478
1253.000,-1582.478
1254.000,-1582.478
1255.000,-1582.478
1256.000,-1265.983
1257.000,-1265.983
1258.000,-1265.983
1259.000,-1265.983
1260.000,-1265.983
1261.000,-1265.983
1262.000,-1265.983
1263.000,-1265.983
1264.000,-1265.983
1265.000,-1265.983
1266.000,-1265.983
1267.000,-1265.983
1268.000,-1265.983
1269.000,-1582.478
1270.000,-1582.478
1271.000,-1582.478
1272.000,-1265.983
1273.000,-1265.983
1274.000,-1582.478
1275.000,-1582.478
1276.000,-1582.478
1277.000,-1582.478
1278.000,-1582.478
1279.000,-1582.478
1280.000,-1582.478
1281.000,-1582.478
1282.000,-1582.478
1283.000,-1582.478
1284.000,-1582.478
1285.000,-1582.478
1286.000,-1582.478
1287.000,-1582.478
1288.000,-1582.478
1289.000,-1265.983
1290.000,-1265.983
1291.000,-1265.983
1292.000,-1265.983
1293.000,-1265.983
1294.000,-1265.983
1295.000,-1265.983
1296.000,-1265.983
1297.000,-1582.478
1298.000,-1582.478
1299.000,-1582.478
1300.000,-1582.478
1301.000,-1582.478
1302.000,-1898.974
1303.000,-1898.974
1304.000,-1898.974
1305.000,-1898.974
1306.000,-1898.974
1307.000,-1898.974
1308.000,-1898.974
1309.000,-1898.974
1310.000,-1898.974
1311.000,-2215.470
1312.000,-2215.470
1313.000,-2215.470
1314.000,-2215.470
1315.000,-2215.470
1316.000,-2215.470
1317.000,-1898.974
1318.000,-1898.974
1319.000,-2215.470
1320.000,-2215.470
1321.000,-2215.470
1322.000,-1898.974
1323.000,-1898.974
1324.000,-1898.974
1325.000,-1898.974
1326.000,-1898.974
1327.000,-1898.974
1328.000,-1898.974
1329.000,-1582.478
1330.000,-1582.478
1331.000,-1582.478
1332.000,-1582.478
1333.000,-1265.983
1334.000,-1265.983
1335.000,-1265.983
1336.000,-1265.983
1337.000,-1265.983
1338.000,-1265.983
1339.000,-1265.983
1340.000,-1265.983
1341.000,-949.487
1342.000,-1265.983
1343.000,-1265.983
1344.000,-1265.983
1345.000,-1265.983
1346.000,-1582.478
1347.000,-1582.478
1348.000,-1582.478
1349.000,-1898.974
1350.000,-1898.974
1351.000,-1898.974
1352.000,-2215.470
1353.000,-2215.470
1354.000,-2531.965
1355.000,-2531.965
1356.000,-2531.965
1357.000,-2531.965
1358.000,-2848.461
1359.000,-2848.461
1360.000,-2848.461
1361.000,-2848.461
1362.000,-2848.461
1363.000,-2848.461
1364.000,-2848.461
1365.000,-2848.461
1366.000,-2848.461
1367.000,-2848.461
1368.000,-2848.461
1369.000,-2848.461
1370.000,-2848.461
1371.000,-2848.461
1372.000,-2848.461
1373.000,-2848.461
1374.000,-2531.965
1375.000,-2531.965
1376.000,-2531.965
1377.000,-2531.965
1378.000,-2531.965
1379.000,-2531.965
1380.000,-2531.965
1381.000,-2531.965
1382.000,-2531.965
1383.000,-2531.965
1384.000,-2531.965
1385.000,-2531.965
1386.000,-2531.965
1387.000,-2531.965
1388.000,-2531.965
1389.000,-2531.965
1390.000,-2531.965
1391.000,-2531.965
1392.000,-2848.461
1393.000,-2848.461
1394.000,-2848.461
1395.000,-2848.461
1396.000,-2848.461
1397.000,-2848.461
1398.000,-3164.957
1399.000,-3164.957
1400.000,-3164.957
1401.000,-3164.957
1402.000,-3164.957
1403.000,-3481.453
1404.000,-3481.453
1405.000,-3481.453
1406.000,-3481.453
1407.000,-3481.453
1408.000,-3481.453
1409.000,-3481.453
1410.000,-3481.453
1411.000,-3481.453
1412.000,-3481.453
1413.000,-3481.453
1414.000,-3481.453
1415.000,-3481.453
1416.000,-3481.453
1417.000,-3481.453
1418.000,-3481.453
1419.000,-3481.453
1420.000,-3481.453
1421.000,-3481.453
1422.000,-3481.453
1423.000,-3481.453
1424.000,-3481.453
1425.000,-3481.453
1426.000,-3481.453
1427.000,-3481.453
1428.000,-3481.453
1429.000,-3481.453
1430.000,-3481.453
1431.000,-3481.453
1432.000,-3481.453
1433.000,-3481.453
1434.000,-3481.453
1435.000,-3481.453
1436.000,-3481.453
1437.000,-3164.957
1438.000,-3164.957
1439.000,-3164.957
1440.000,-3164.957
1441.000,-2848.461
1442.000,-2848.461
1443.000,-2848.461
1444.000,-2848.461
1445.000,-2531.965
1446.000,-2531.965
1447.000,-2531.965
1448.000,-2531.965
1449.000,-2531.965
1450.000,-2531.965
1451.000,-2531.965
1452.000,-2531.965
1453.000,-2531.965
1454.000,-2531.965
1455.000,-2531.965
1456.000,-2848.461
1457.000,-2848.461
1458.000,-2848.461
1459.000,-2848.461
1460.000,-2848.461
1461.000,-3164.957
1462.000,-3164.957
1463.000,-3164.957
1464.000,-3481.453
1465.000,-3481.453
1466.000,-3797.948
1467.000,-3797.948
1468.000,-3797.948
1469.000,-3797.948
1470.000,-3797.948
1471.000,-4114.444
1472.000,-4114.444
1473.000,-4114.444
1474.000,-4114.444
1475.000,-4114.444
1476.000,-4114.444
1477.000,-4114.444
1478.000,-4114.444
1479.000,-4114.444
1480.000,-3797.948
1481.000,-3797.948
1482.000,-3797.948
1483.000,-3797.948
1484.000,-3797.948
1485.000,-3797.948
1486.000,-3481.453
1487.000,-3481.453
1488.000,-3481.453
1489.000,-3481.453
1490.000,-3481.453
1491.000,-3481.453
1492.000,-3481.453
1493.000,-3481.453
1494.000,-3481.453
1495.000,-3164.957
1496.000,-3481.453
1497.000,-3481.453
1498.000,-3481.453
1499.000,-3481.453
1500.000,-3481.453
1501.000,-3481.453
1502.000,-3481.453
1503.000,-3481.453
1504.000,-3797.948
1505.000,-3797.948
1506.000,-3797.948
